sequence, count
IN DT NN, 66226
DT JJ NN, 42055
DT NN IN, 36791
NN IN DT, 32979
DT NN NN, 23166
IN DT JJ, 20827
IN PRP$ NN, 19569
NN IN NN, 19347
JJ NN IN, 16836
VBD DT NN, 16348
PRP MD VB, 14052
JJ NN NN, 13522
NN NN VBD, 13167
DT NN VBD, 13036
VB DT NN, 12754
NN IN PRP$, 11957
NN VBD RB, 11422
IN PRP VBD, 11325
NN POS NN, 11247
PRP VBD RB, 11107
NN NN NN, 10937
NN TO VB, 10155
MD RB VB, 10135
NN MD VB, 10026
NN CC NN, 9949
DT NN CC, 9772
NN VBD IN, 9716
NN VBD DT, 9581
NN NN IN, 9426
VBD IN DT, 9145
PRP VBD DT, 9079
NN PRP VBD, 8730
NN IN PRP, 8721
IN DT NNS, 8683
NNS IN DT, 8374
TO VB DT, 8328
PRP VBD IN, 8246
JJ NN VBD, 7857
VBD TO VB, 7801
VBD DT JJ, 7674
RB IN DT, 7352
TO DT NN, 7222
TO VB IN, 7114
PRP$ JJ NN, 7054
NN VBD VBN, 7054
IN JJ NN, 6901
VBN IN DT, 6847
PRP$ NN IN, 6681
VBZ DT NN, 6644
PRP VBD PRP, 6613
JJ JJ NN, 6451
TO VB PRP, 6410
IN NN NN, 6314
NN IN JJ, 6300
IN NN IN, 6258
VBD PRP$ NN, 6215
PRP$ NN NN, 6199
NN CC VBD, 5963
DT JJ NNS, 5926
NN CD NN, 5855
PRP$ NN VBD, 5811
DT NN VBZ, 5790
NN DT NN, 5732
JJ NN CC, 5678
IN PRP$ NNS, 5499
VBP RB VB, 5462
JJ NNS IN, 5448
VB PRP$ NN, 5393
NN VBD PRP, 5309
PRP MD RB, 5239
DT NN PRP, 5219
NN NN CC, 5145
NNS IN NN, 5068
NN VBD JJ, 5063
DT NNS IN, 4936
RB DT NN, 4838
IN PRP VBP, 4836
VBG TO VB, 4818
DT NN RB, 4748
PRP VBD VBN, 4730
NN VBD PRP$, 4727
PRP$ NN CC, 4726
VB IN DT, 4725
VBG DT NN, 4717
VB TO VB, 4704
MD VB PRP, 4696
CC DT NN, 4683
MD VB DT, 4666
DT NN TO, 4581
NN VBD VBG, 4553
IN PRP$ JJ, 4549
VB DT JJ, 4485
DT JJ JJ, 4484
VBG IN DT, 4457
NN IN NNS, 4431
IN NN VBD, 4430
TO VB NN, 4350
VBD RB VB, 4263
IN NN CC, 4259
IN JJ NNS, 4217
RB PRP VBD, 4206
CC PRP VBD, 4205
RB VB PRP, 4202
NN CC DT, 4168
VBD RB IN, 4154
PRP VBP RB, 4096
PRP IN DT, 4096
VBP DT NN, 4094
VBD VBN IN, 4043
NN VBD NN, 3999
NN MD RB, 3955
NN NN VBP, 3951
VBD RB JJ, 3921
NN VBZ DT, 3876
NN PRP VBP, 3869
PRP VBD TO, 3850
TO VB PRP$, 3804
PRP VBD JJ, 3775
VBD IN NN, 3770
PRP VBZ RB, 3762
DT NN POS, 3753
PRP VBD VBG, 3752
RB IN PRP, 3707
IN NN POS, 3688
NN NN VBZ, 3680
JJ TO VB, 3672
NNS VBP RB, 3613
NN VBD TO, 3578
VBD RB VBN, 3572
RP DT NN, 3525
VBN TO VB, 3441
VBP TO VB, 3406
WRB PRP VBD, 3405
RB VB DT, 3397
JJ IN DT, 3387
MD VB IN, 3373
RB IN NN, 3322
VBD IN PRP, 3293
NN RB VBD, 3278
VBZ DT JJ, 3261
IN IN DT, 3257
IN PRP MD, 3253
RB JJ IN, 3252
RB JJ NN, 3243
VBN IN NN, 3232
DT NNS VBD, 3212
PRP VBZ DT, 3179
NN PRP MD, 3136
JJ NN NNS, 3117
RB TO VB, 3081
VB IN PRP, 3065
VB PRP IN, 3037
VBD IN PRP$, 3030
NNS IN PRP$, 2991
CC NN VBD, 2952
NN VBZ RB, 2948
PRP RB VBD, 2904
JJ NN PRP, 2894
RB RB IN, 2892
DT NN NNS, 2892
PRP TO VB, 2876
NN VBN IN, 2856
NN NNS IN, 2851
NN VBP RB, 2850
PRP VBD NN, 2836
DT NNS VBP, 2831
VBD PRP IN, 2827
NN CC PRP, 2812
NNS TO VB, 2760
NNS CC NNS, 2739
TO VB JJ, 2731
PRP VBP DT, 2715
NN JJ NN, 2704
MD VB VBN, 2694
VB PRP VB, 2693
DT NN VBG, 2674
DT NN DT, 2660
PRP VBZ JJ, 2649
VBD RB RB, 2613
IN PRP VBZ, 2584
NN CC VB, 2578
NN IN VBG, 2559
VBN DT NN, 2559
NN NNS VBP, 2556
NN RB IN, 2547
RB VB IN, 2544
NN POS JJ, 2512
JJ NN VBZ, 2503
JJ CC JJ, 2497
RP IN DT, 2468
NN VBZ IN, 2467
NN TO DT, 2445
TO VB RB, 2423
JJ JJ NNS, 2420
VBD VBG IN, 2388
