sequence, count
AT0 NN1, 1434
PNP VM0, 1067
PNP VVB, 853
TO0 VVI, 787
VM0 VVI, 774
AJ0 NN1, 766
PNP VBB, 717
VVB PNP, 689
VVI PNP, 632
PRP AT0, 496
AV0 AV0, 489
PNP VBZ, 487
DPS NN1, 486
NN1 NN1, 481
XX0 VVI, 440
AT0 AJ0, 440
PRP PNP, 405
PNP AV0, 402
PNP VVD, 398
AV0 PNP, 392
DT0 NN1, 391
PNP VHB, 348
CJS PNP, 345
AV0 AJ0, 332
CJC PNP, 332
NN1 PRP, 318
ITJ ITJ, 312
VVB AVP, 307
VDB XX0, 297
NN1 PRF, 270
DT0 VBZ, 266
AJ0 NN2, 265
PNP VVI, 265
VM0 XX0, 256
VVI AT0, 246
AT0 NN2, 242
VVI PRP, 226
PRP NN1, 221
NN1 VBZ, 211
VBZ AJ0, 204
VBZ AT0, 203
ITJ PNP, 202
VVD PNP, 201
VBB AJ0, 201
NN1 PNP, 200
AV0 VVB, 197
PRP DT0, 188
NN1 AV0, 186
VBB VVG, 181
VBZ AV0, 179
VM0 VBI, 178
VVG TO0, 174
PNP VDB, 172
VBB PNP, 171
DPS NN2, 168
VVB AT0, 167
NN1 CJC, 163
PNP PRP, 162
VM0 VM0, 159
VHB VVN, 155
PRP DPS, 155
AV0 VVI, 151
VVI AV0, 150
NN1 NN2, 149
VVB PRP, 146
NN1 NP0, 144
VVI DT0, 142
VBZ VVG, 140
VM0 PNP, 139
PNP VBD, 137
VVI AVP, 134
PRP PRP, 133
DPS AJ0, 131
DTQ VBZ, 130
PRP NP0, 125
NN1 TO0, 123
VBB AV0, 122
AVP PRP, 122
AT0 NP0, 121
DT0 AJ0, 120
AV0 PRP, 114
VVB AV0, 113
PNP VVZ, 110
VVN TO0, 106
AJ0 AJ0, 105
AVP AV0, 105
NP0 NP0, 104
VM0 AV0, 104
VVI DPS, 103
DT0 NN2, 102
VDB PNP, 102
TO0 VBI, 102
VBI AJ0, 101
PRP AV0, 101
NP0 NN1, 101
VVG PRP, 100
VVI NN1, 97
AJ0 PRP, 94
VBZ PNP, 93
ITJ AV0, 92
VVN PRP, 92
PNP AVP, 92
PRF NN1, 92
DTQ PNP, 92
VVB DT0, 91
PNP VDD, 91
AV0 DT0, 90
VBZ XX0, 89
EX0 VBZ, 89
AJ0 PNP, 88
VVB TO0, 88
TO0 VDI, 87
NN2 PRP, 86
NN1 VM0, 86
AV0 NP0, 86
PRF AT0, 85
ITJ VVB, 85
XX0 AV0, 84
PNP VVG, 83
VVB NN1, 81
VBZ DT0, 78
CJC VVB, 77
NP0 CJC, 77
PRF PNP, 77
ITJ NN1, 77
AV0 AT0, 77
VVB VVB, 76
AJ0 TO0, 76
CJC AT0, 76
XX0 PNP, 74
PNP DT0, 74
AV0 CJS, 73
AVQ PNP, 73
NN2 AV0, 72
NN1 VVB, 71
VVG AVP, 71
AJ0 CJC, 71
VM0 VHI, 70
NN2 CJC, 70
CJC AV0, 69
VM0 VDI, 69
PNP NN1, 68
PNP AJ0, 67
VVI TO0, 67
VBB XX0, 65
PNP NP0, 64
AJ0 AV0, 63
AV0 VVN, 63
CJC NN1, 62
NN2 VBB, 62
VDD XX0, 62
POS NN1, 61
VDD PNP, 61
VVB DPS, 61
ITJ NP0, 61
NN1 AJ0, 60
AV0 NN1, 60
DTQ VBB, 59
NN2 VVB, 59
VVB NP0, 59
VBZ VVN, 57
VBB AT0, 57
VVB AJ0, 57
NN1 VVZ, 57
PRP AJ0, 57
VHB TO0, 57
VVI NP0, 57
PNP TO0, 56
NN1 AT0, 56
VBZ DPS, 56
DT0 AT0, 55
AV0 CJC, 55
VVG PNP, 55
VVN AT0, 54
VVD AT0, 54
VBZ PRP, 54
CJC VVI, 54
VVD TO0, 53
DT0 DT0, 53
NP0 PNP, 53
PNP CJC, 52
CJC AJ0, 51
PNP AT0, 50
NN1 VVD, 50
NN1 CJS, 50
VHB AT0, 49
VVB NN2, 49
AV0 VM0, 49
VVZ PNP, 49
NN2 VM0, 49
VVD PRP, 48
AVQ VM0, 48
AV0 VDB, 48
AV0 DTQ, 48
AJ0 NP0, 47
VVI PNI, 46
VVG AV0, 46
NN1 ITJ, 46
VVZ PRP, 46
VBI VVN, 46
PNP PNP, 45
VDI PNP, 44
VBI AT0, 44
NP0 VVB, 44
VBB VVN, 44
CJS CJS, 44
AV0 VVD, 44
PRP NN2, 44
NN1 AVP, 44
ITJ AJ0, 44
VHZ VVN, 43
VBD AV0, 43
NP0 AV0, 43
ORD NN1, 41
VVI AJ0, 41
AVQ VBB, 41
VBZ NP0, 40
PRP VVG, 40
AT0 AV0, 40
VVN PNP, 39
PNP VDI, 39
NN2 PNP, 39
NP0 POS, 39
NN1 POS, 38
CJC DT0, 38
ITJ DPS, 38
PNP VHD, 37
PNI PRP, 37
PNP NN2, 37
NP0 VBZ, 36
PRF DPS, 36
VBI AV0, 36
XX0 VBI, 36
AVP AT0, 36
PNI AV0, 36
NN1 CJT, 35
ITJ DT0, 35
VVI AVQ, 35
CJC NP0, 35
VHI VVN, 35
CJT PNP, 34
DT0 PRF, 34
PRF NP0, 34
VVD DPS, 34
NP0 VVD, 34
AV0 VVG, 33
NN2 PRF, 33
VBD AJ0, 33
AVP CJC, 33
VVN AV0, 33
PRF DT0, 33
DT0 PNP, 33
XX0 VVG, 33
CJC DPS, 32
DT0 VM0, 32
VHI TO0, 32
VVD AVP, 32
VHB PNP, 32
VBZ NN1, 31
VHB AV0, 31
VVD AV0, 31
DT0 AV0, 31
AVQ VDB, 31
DTQ VM0, 30
CJS AT0, 30
DT0 PRP, 30
XX0 VHI, 30
AT0 ORD, 30
AVQ VBZ, 30
DTQ VDB, 30
VVB AVQ, 30
VVI NN2, 30
NN1 DT0, 30
XX0 AJ0, 30
NN1 VBD, 30
PNI AJ0, 30
VHB VBN, 29
PRF NN2, 29
CRD NN1, 29
VBD AT0, 29
PNP VHZ, 29
VDZ XX0, 29
ITJ DTQ, 29
UNC UNC, 29
AJ0 CJS, 29
CJC DTQ, 28
CJC AVQ, 28
AV0 DPS, 28
PNP VVN, 28
VBD VVG, 27
XX0 DT0, 27
VDI DT0, 27
VBZ PNI, 27
PNI VBZ, 27
PRP CRD, 27
VVI CJC, 27
AV0 ITJ, 27
DT0 VBD, 26
NN1 VHZ, 26
XX0 AT0, 26
NN1 VVG, 26
VVB VVG, 26
VHI DT0, 26
VBD XX0, 26
PNP CJS, 26
VVI DTQ, 26
VBB NN1, 25
VBZ AVQ, 25
TO0 VHI, 25
NN2 AVP, 25
VVG AT0, 25
VVB PNI, 25
AV0 VBZ, 25
DTQ VVD, 25
AT0 AJS, 25
CRD NN2, 25
VDI PNI, 25
CJC CJS, 24
VBB PRP, 24
DTQ NN1, 24
NP0 PRP, 24
VVB DTQ, 24
AVP PNP, 24
PNQ VBB, 24
AV0 TO0, 24
AVP NP0, 24
AVP NN1, 24
NN1 VVN, 23
AV0 VBI, 23
PNP VDG, 23
XX0 VVN, 23
CRD PRF, 23
PNI PNP, 23
AJ0 PRF, 23
NN2 NP0, 23
XX0 VDI, 22
NN1 DTQ, 22
DPS DT0, 22
AVP VVB, 22
CJS DT0, 22
PNI TO0, 22
PRP PNI, 21
DTQ AT0, 21
NN2 VVD, 21
NN2 VHB, 21
PRF AJ0, 21
VHD AV0, 21
ITJ NN2, 21
VDI PRP, 21
NN2 NN1, 21
VVG DPS, 21
VBB DT0, 21
VBI PRP, 21
CJC NN2, 21
AJS NN1, 20
AVQ TO0, 20
AT0 DT0, 20
VVN AVP, 20
