sequence, count
PNP VB VV TO0 VV PNP, 22
DTQ VB PNP VV TO0 VDI, 18
PNP VHB VV TO0 VV PNP, 15
PNP VDB XX0 VV TO0 VV, 14
PNP VB AJ0 PNP VB AJ0, 13
PNP VV PNP PRP AT0 NN, 13
PNP VM0 VV AT0 AJ0 NN, 11
PNP VM0 VV AT0 NN PRP, 11
PNP VV PNP VM0 VV PNP, 10
VV AT0 NN PRF AT0 NN, 9
AT0 NN PRF AT0 AJ0 NN, 8
DT0 PNP VHB TO0 VDI VB, 8
PNP VB VV PRP AT0 NN, 8
VV AT0 NN PRP AT0 NN, 8
PNP VV TO0 VV AT0 NN, 8
PNP VB AV0 AJ0 TO0 VV, 8
PNP VM0 VV PNP CJS PNP, 7
NN CJC PNP VM0 VV PNP, 7
VV PNP PRP AT0 NN NN, 7
PNP VHB VV TO0 VV AT0, 7
PNP VHB TO0 VDI VB VV, 7
PNP VM0 VB AJ0 TO0 VV, 7
NN PRP AT0 NN PRF NN, 7
PNP VM0 AV0 VV PNP PRP, 7
VV PNP VB VV TO0 VV, 7
PNP VV AT0 NN PRF NN, 6
PNP VV PNP VB AV0 AJ0, 6
PNP VM0 XX0 VV TO0 VV, 6
PNP VB XX0 VV TO0 VV, 6
VV DPS NN PRP AT0 NN, 6
AV0 DTQ VB PNP VV PRP, 6
PNP VV TO0 VV PNP VV, 6
PNP VV TO0 VV DPS NN, 6
TO0 VV AT0 NN PRF AT0, 6
AT0 NN TO0 VV AT0 NN, 6
PNP VDB XX0 VV AT0 NN, 6
PNP VM0 XX0 VV PNP AV0, 6
AV0 PNP VB VV TO0 VV, 6
PNP VM0 VV PNP PRP AT0, 6
CJC PNP VV PNP VM0 VV, 6
VB AJ0 PNP VB AJ0 PNP, 6
VB VV PRP AT0 NN PRF, 6
PNP VHB VV TO0 VV PRP, 6
AVQ VB PNP VV TO0 VV, 6
PNP AV0 VV TO0 VV PNP, 6
AT0 NN PRP AT0 NN PRF, 6
AJ0 PNP VB AJ0 PNP VB, 6
VV PRP AT0 NN PRF NN, 6
ITJ ITJ ITJ ITJ ITJ ITJ, 6
PNP VM0 XX0 VV PNP VV, 6
VM0 VV PNP PRP AT0 NN, 5
PNP VM0 VV AT0 NN PRF, 5
VM0 VB PNI PNP VM0 VDI, 5
VV AT0 AJ0 NN PRP PNP, 5
VV TO0 VV AT0 NN PRP, 5
PNP VB AV0 VV TO0 VV, 5
EX0 VM0 VB PNI PNP VM0, 5
CJC PNP VM0 XX0 VV AV0, 5
VB VV PRP AT0 AJ0 NN, 5
AT0 NN PRF AT0 NN NN, 5
VB XX0 DT0 AT0 AJ0 NN, 5
PNP VB VV TO0 VHI TO0, 5
AT0 AJ0 NN VM0 VB VV, 5
PNP VM0 AV0 VV AT0 NN, 5
CJC PNP VB VV TO0 VV, 5
PNP VM0 VV PRP AT0 NN, 5
CJS PNP VV PRP AT0 NN, 5
PNP AV0 VV PNP VM0 VV, 5
PNP VDB XX0 VV PNP VM0, 5
PRP AT0 NN PRF DPS NN, 5
EX0 VB AT0 NN TO0 VV, 5
VV TO0 VV AT0 AJ0 NN, 5
VB AT0 NN PRP AT0 NN, 5
VM0 VV AVP PRP AT0 NN, 5
PNP VM0 VV PNP PRP DPS, 5
PNP VV PNP PNP VV PNP, 5
VHB VV TO0 VV AT0 NN, 5
VM0 VM0 VV PRP PRP AV0, 5
VV PNP PNP VV PNP XX0, 5
PNP VDB XX0 VV AVQ PNP, 5
PNP VHB VV AT0 AJ0 NN, 5
VV AT0 NN TO0 VV AT0, 5
PNP AV0 VV AT0 AJ0 NN, 5
PNP VV PNP VM0 AV0 VV, 5
PNP VM0 XX0 VV AT0 NN, 5
VV AT0 NN PRP DT0 NN, 5
AT0 AJ0 NN PRF AT0 NN, 5
AT0 AJ0 NN CJT VM0 VV, 5
PNP VHB VV TO0 VV DT0, 5
VM0 VV PNP CJS PNP VV, 5
VB VV TO0 VHI TO0 VV, 5
AV0 CJS PNP VM0 VV PNP, 5
PNP VB AT0 NN PRF AT0, 4
PNP VB AT0 NN PRP AT0, 4
AT0 NN NN VB VV AVP, 4
VV AVP PRP NN NN CJC, 4
PNP VM0 VV DPS AJ0 NN, 4
PNP VV TO0 VV AVP PRP, 4
AV0 PNP VM0 VV DT0 NN, 4
VHB TO0 VDI VB VV PNP, 4
VB AV0 VV TO0 VV PNP, 4
PNP VV PNP TO0 VV PNP, 4
PNP VV PRP AT0 AJ0 NN, 4
TO0 VV AT0 NN PRP AT0, 4
VV PNP VB AT0 AJ0 NN, 4
CJS PNP VDB XX0 VV PNP, 4
PNP VB VV TO0 VV NN, 4
VV CJS PNP VM0 VV PNP, 4
PNP VV PNP VHD AV0 VV, 4
ITJ PNP VM0 XX0 VDI DT0, 4
PNP VB VV TO0 VV PRP, 4
AT0 NN PRF DPS AJ0 NN, 4
PNP VV AT0 NN TO0 VV, 4
PNP VV PNP VV AT0 NN, 4
PNP VHB VV TO0 VB AJ0, 4
VM0 VV PNP PRP DPS NN, 4
PNP VB VV TO0 VV AV0, 4
CJS PNP VM0 VV AT0 NN, 4
PNP VB VV AT0 AJ0 NN, 4
PNP VDD XX0 VV TO0 VV, 4
AT0 AJ0 NN PRP DT0 NN, 4
PNP VV PNP VM0 VV AT0, 4
VV TO0 VV AT0 NN NN, 4
AV0 PNP VM0 VV AT0 NN, 4
PNP VHB AV0 VV AT0 NN, 4
TO0 VV AT0 NN TO0 VV, 4
PNP VB AV0 AJ0 PRP PNP, 4
PNP VHB AV0 VV TO0 VV, 4
VV PNP VM0 XX0 VV PNP, 4
PNP VM0 AV0 VV DPS NN, 4
CJC PNP VM0 VV PNP VV, 4
VB PNP AJ0 TO0 VV PNP, 4
PNP VM0 VV DPS NN AV0, 4
AVP PRP AT0 NN PRF NN, 4
PNP VV PNP VM0 VB AJ0, 4
AV0 PNP VM0 VV PNP PRP, 4
VM0 VV AT0 AJ0 NN CJC, 4
VV PRP PNP PRP AT0 NN, 4
VV AT0 NN PRP DPS NN, 4
VV TO0 VV DT0 AJ0 NN, 4
CJC PNP VM0 VV AT0 NN, 4
AT0 NN TO0 VV DPS NN, 4
PNP VM0 AV0 VV PNP AV0, 4
PNP VV PNP VB VV TO0, 4
VB AV0 AJ0 PNP VB AJ0, 4
CJS PNP VV AT0 AJ0 NN, 4
PNP VV PNP VM0 XX0 VV, 4
PNP VM0 VV AT0 NN TO0, 4
AT0 AJ0 NN PRP AT0 NN, 4
VV TO0 VV PRP PRP AV0, 4
VV TO0 VV PRP DPS NN, 4
PNP VV PNP VB AV0 AV0, 4
PNP VV AT0 AJ0 NN PRP, 4
VB AT0 NN PRF AT0 NN, 4
PNP VM0 VV PNP PRP PRP, 4
XX0 VV TO0 VV AT0 NN, 4
PNP VDB XX0 VV PNP VV, 4
VB VV PRP AT0 NN NN, 4
VV AT0 NN TO0 VV PNP, 4
PNP VM0 VV PNP AT0 NN, 4
AT0 NN VV PRP AT0 NN, 4
PNP VB AJ0 TO0 VV PNP, 4
VV PNP VM0 VV PNP PRP, 4
VV PNP VV PNP VV PNP, 4
PNP VDB XX0 VV PNP VB, 4
PNP VB VV TO0 VV DT0, 4
VV PNP VM0 VV PRP DT0, 4
CJC PNP VV TO0 VV PNP, 4
PNP VB VV TO0 VV NP0, 4
PRP AT0 NN PRF AT0 NN, 4
NN PNP VB VV TO0 VV, 4
PNP VB VV PRP AT0 AJ0, 4
PNP VV AT0 AJ0 NN NN, 4
PRP AT0 NN PRF NN PRP, 4
PNP VM0 XX0 VV AV0 AV0, 4
NN VB VV TO0 VV PNP, 4
PNP VM0 XX0 VV DPS NN, 4
VV TO0 VV PNP AT0 NN, 4
PNP VV PNP VB AT0 NN, 4
VM0 VV PRP NP0 CJC VV, 3
PRP DPS NN PNP VM0 VV, 3
PNP VHB AT0 NN TO0 VV, 3
PNP VB VV TO0 VB VV, 3
PNP VM0 AV0 VV PRP AT0, 3
VM0 VV CJS PNP VM0 VV, 3
PNP VM0 VHI TO0 VV PNP, 3
PNP VHB AT0 NN PNP VB, 3
AV0 PNP VV PNP VM0 VV, 3
VV PNP VM0 VHI TO0 VV, 3
AV0 AV0 AV0 AV0 AV0 AV0, 3
PNP VB AT0 AJ0 NN AVP, 3
NN CJS PNP VV PRP AT0, 3
TO0 VV PRP AT0 AJ0 NN, 3
VB PNP AV0 VV TO0 VV, 3
PNP VM0 VV AVP PRP AT0, 3
NN VB VV PRP DT0 NN, 3
VM0 VV AVP PRP NN NN, 3
VM0 VV AVP PRP NP0 CJC, 3
PNP VHB VV TO0 VV NN, 3
VM0 VV AT0 NN PRP DT0, 3
VB XX0 AV0 AT0 AJ0 NN, 3
VV AVQ TO0 VB AT0 NN, 3
VV PNP VM0 VV DT0 NN, 3
NN TO0 VV AT0 AJ0 NN, 3
AV0 PNP VM0 VV AT0 AJ0, 3
VV DT0 NN PRP AT0 NN, 3
VDB XX0 VV PNP VM0 AV0, 3
VV PNP TO0 VV DPS NN, 3
AJ0 NN CJC PNP VM0 XX0, 3
VV AVP AV0 CJC VV PNP, 3
VV TO0 VV DT0 NN PRP, 3
