sequence, count
PNP VDB XX0 VVI, 247
PNP VM0 XX0 VVI, 232
PNP VM0 VVI PNP, 188
NN1 PRP AT0 NN1, 169
PNP VBB VVG TO0, 145
PNP VVB TO0 VVI, 138
PRP AT0 AJ0 NN1, 137
TO0 VVI AT0 NN1, 123
AT0 AJ0 AJ0 NN1, 112
PRP AT0 NN1 NN1, 108
VBB VVG TO0 VVI, 106
PNP VBB AV0 AJ0, 106
PNP VM0 AV0 VVI, 102
VDB XX0 VVI PNP, 96
VBZ AT0 AJ0 NN1, 92
NN1 PRF AT0 NN1, 90
AT0 NN1 PRP AT0, 87
PNP VM0 VVI AT0, 85
AT0 AJ0 NN1 PRP, 85
AT0 AV0 AJ0 NN1, 80
VM0 XX0 VVI PNP, 80
PRP AT0 NN1 PRF, 79
AT0 NN1 PRF AT0, 78
AT0 NN1 TO0 VVI, 76
PNP VHB AV0 VVN, 76
VVG TO0 VVI PNP, 76
PNP VVB PNP VM0, 74
PNP PRP AT0 NN1, 74
AT0 NN1 PRF NN1, 73
AT0 AJ0 NN1 NN1, 73
AV0 PNP VM0 VVI, 72
PNP VDD XX0 VVI, 72
PNP VVB PNP VBB, 71
VM0 VVI AT0 NN1, 69
PNP VVD TO0 VVI, 69
AV0 PRP AT0 NN1, 66
PNP VVB AT0 NN1, 65
CJS PNP VM0 VVI, 65
AT0 AJ0 NN1 PRF, 64
VVI AT0 AJ0 NN1, 63
TO0 VVI DPS NN1, 63
VDB XX0 PNP VVI, 63
PNP VM0 VVI PRP, 60
VVI PRP AT0 NN1, 60
PNP VBZ AT0 NN1, 59
PNP VHB TO0 VVI, 59
VBZ VVG TO0 VVI, 57
PNP VBZ AV0 AJ0, 57
XX0 VVI TO0 VVI, 56
PNP VVD AT0 NN1, 56
NN2 PRP AT0 NN1, 55
AT0 NN1 NN1 NN1, 55
PNP VBB XX0 VVG, 54
PNP VM0 VVI DT0, 52
PNP VBB AJ0 PNP, 52
PNP VBB AV0 AV0, 51
PRP AT0 NN1 PRP, 51
VVI AT0 NN1 PRP, 51
PRP AT0 NN1 CJC, 51
TO0 VVI PNP PRP, 51
AT0 NN1 PRP NN1, 51
PNP VHB VVN TO0, 50
PNP VBB VVG PRP, 50
PRP AT0 AJ0 AJ0, 50
PNP VM0 VBI AJ0, 49
NN1 PRP AT0 AJ0, 49
AJ0 PRP AT0 NN1, 48
NN1 PRP DPS NN1, 48
AJ0 NN1 TO0 VVI, 47
NN1 TO0 VVI AT0, 47
NN1 PNP VM0 VVI, 47
AVP PRP AT0 NN1, 46
VHB VVN TO0 VVI, 46
PNP VDB XX0 VHI, 45
PRP DPS AJ0 NN1, 45
TO0 VVI PRP AT0, 44
EX0 VBZ AT0 NN1, 44
CJC PNP VM0 VVI, 43
PNP VM0 VVI AVP, 43
AJ0 NN1 PRP AT0, 42
TO0 VVI AT0 AJ0, 42
AVQ VM0 PNP VVI, 42
TO0 VVI PRP PNP, 42
VVB PNP VM0 VVI, 42
PNP VBB AT0 NN1, 42
PNP VBZ AT0 AJ0, 41
PNP VVD DPS NN1, 41
DTQ VDB PNP VVI, 41
PNP VHB VVN AT0, 40
VVI AT0 NN1 NN1, 40
DT0 VBZ AT0 NN1, 40
AT0 AJ0 NN1 CJC, 39
TO0 VVI DT0 NN1, 39
PNP VVB PNP VBZ, 39
AJ0 TO0 VVI PNP, 38
AT0 NN2 PRF NN1, 37
VM0 VVI PNP PRP, 37
PNP VVB PNP VVB, 36
PRP AT0 NN1 AV0, 36
AV0 AJ0 TO0 VVI, 36
PNP VBB AJ0 TO0, 36
PRP DPS NN1 NN1, 36
NN1 NN1 NN1 NN1, 35
VM0 PNP VVI PNP, 35
PNP AV0 VM0 XX0, 35
PNP VM0 VVI DPS, 35
PNP VBB AJ0 NN1, 35
CJC PNP VVB PNP, 35
AT0 NN1 PRP DPS, 35
PNP VVB DT0 NN1, 34
PRP AT0 NN1 PNP, 34
AV0 AV0 AV0 AV0, 34
AT0 NN1 NN1 PRP, 34
VVI PNP TO0 VVI, 34
AJ0 NN1 PRF NN1, 34
CJS PNP VDB XX0, 34
VM0 VVI TO0 VVI, 34
TO0 VVI DPS NN2, 34
VVB AT0 AJ0 NN1, 34
CJC PNP VM0 XX0, 33
VVI PNP PRP AT0, 33
VVB TO0 VVI PNP, 33
AT0 AJ0 NN1 TO0, 33
AV0 AT0 AJ0 NN1, 33
AT0 AJ0 NN1 AV0, 33
PNP VVB DPS NN1, 33
PNP VBB AV0 VVG, 33
VVB PRP AT0 NN1, 33
PNP VHB AT0 NN1, 33
PNP VM0 VVI TO0, 33
PNP VM0 XX0 VBI, 32
XX0 VVI AT0 NN1, 32
VVI AT0 NN1 PRF, 32
NN1 CJC AT0 NN1, 32
PRP DT0 AJ0 NN1, 32
VM0 VVI DPS NN1, 32
VVD TO0 VVI PNP, 32
VVN PRP AT0 NN1, 32
PNP VBB XX0 AJ0, 32
AJ0 NN1 PRP DT0, 31
AJ0 NN1 NN1 NN1, 31
AV0 AJ0 NN1 PRP, 30
DTQ VBB PNP VVG, 30
PNP VBB AT0 AJ0, 30
PNP VBB VVG PNP, 30
AV0 CJS PNP VM0, 30
NN1 PNP VBB VVG, 30
VVI TO0 VVI PNP, 30
VVG TO0 VVI PRP, 30
VM0 AV0 VVI PNP, 30
VVB PNP VBB AJ0, 30
AT0 NN1 AV0 AV0, 30
AV0 VM0 XX0 VVI, 30
AT0 NN1 PRP PNP, 29
NN1 PNP VBB AV0, 29
CJS PNP VBB VVG, 29
PNP VBZ VVG TO0, 29
PNP VBZ AV0 AT0, 29
VBB AJ0 TO0 VVI, 29
PNP VM0 VVI AV0, 29
PNP VHB VBN VVG, 29
DTQ VBB PNP VDG, 29
DT0 AT0 AJ0 NN1, 29
TO0 VVI AVP PRP, 29
PRP PRP AT0 NN1, 29
NN1 TO0 VVI PNP, 29
VVN AT0 AJ0 NN1, 28
PNP VVB PNP TO0, 28
VM0 XX0 VVI PRP, 28
AT0 NN1 PRP DT0, 28
TO0 VVI AT0 NN2, 28
VVG TO0 VVI AT0, 28
PNP VM0 VBI AV0, 28
VDB PNP VVI PNP, 28
VVG PRP AT0 NN1, 28
PNP VM0 XX0 AV0, 28
NN1 CJC PNP VM0, 28
AVQ VDB XX0 PNP, 28
VDB XX0 VVI TO0, 28
VBB PNP VVG PRP, 28
PNP AV0 VVD PNP, 27
VVI DPS NN1 NN1, 27
AT0 NN1 CJC AT0, 27
