sequence, count
PNP VB VV TO0 VV, 139
AT0 NN PRP AT0 NN, 79
PNP VB AT0 AJ0 NN, 73
AT0 NN PRF AT0 NN, 70
PNP VM0 XX0 VV PNP, 68
PNP VV TO0 VV PNP, 67
VV PNP PRP AT0 NN, 66
PNP VM0 VV AT0 NN, 60
VV TO0 VV AT0 NN, 56
PNP VV PNP VM0 VV, 56
PNP VDB XX0 VV PNP, 55
VB VV TO0 VV PNP, 53
VV AT0 NN PRF NN, 48
PRP AT0 AJ0 AJ0 NN, 46
NN PRP AT0 AJ0 NN, 45
PNP VHB VV TO0 VV, 45
PNP AV0 VV TO0 VV, 45
PNP VB AJ0 TO0 VV, 45
VV TO0 VV DPS NN, 42
PNP VB AV0 AV0 AJ0, 38
PNP VV AT0 AJ0 NN, 38
TO0 VV AT0 AJ0 NN, 37
PNP VV PNP VB AJ0, 37
NN TO0 VV AT0 NN, 37
PNP VV PRP AT0 NN, 36
TO0 VV PRP AT0 NN, 36
AJ0 NN PRP AT0 NN, 35
VV TO0 VV PNP PRP, 35
NN PRP AT0 NN NN, 33
VB VV PRP AT0 NN, 33
PRP AT0 NN PRF NN, 32
VV AT0 AJ0 NN PRP, 31
VV PRP AT0 AJ0 NN, 31
PNP VV PNP VB VV, 31
AT0 NN PRP DPS NN, 31
VV AVP PRP AT0 NN, 30
PNP VV TO0 VV PRP, 30
PNP VB AV0 AJ0 PRP, 30
PNP VV PNP TO0 VV, 30
PNP VB PRP AT0 NN, 29
PNP VB VV TO0 VB, 28
VV PRP AT0 NN NN, 28
VV PNP VM0 VV PNP, 28
PNP VM0 VV PNP PRP, 28
VB XX0 VV TO0 VV, 28
AT0 AJ0 NN TO0 VV, 28
PNP AV0 VV AT0 NN, 28
VV TO0 VV PRP PNP, 27
PNP VB XX0 VV TO0, 27
PNP VM0 VV DPS NN, 27
AT0 NN CJC AT0 NN, 27
PNP VM0 VV TO0 VV, 27
VV TO0 VV DT0 NN, 27
CJS PNP VV TO0 VV, 27
VV AT0 NN PRP AT0, 26
VB VV TO0 VV PRP, 26
CJS PNP VDB XX0 VV, 25
AT0 AJ0 NN PRF NN, 25
PNP VM0 XX0 VV PRP, 25
VM0 XX0 VV TO0 VV, 25
NN VB VV TO0 VV, 25
DPS NN PRP AT0 NN, 25
PRP AT0 NN PRF AT0, 25
PRP AT0 NN PRP AT0, 24
PNP VV PNP VV PNP, 24
PRP AT0 AJ0 NN NN, 24
PNP VB AV0 VV TO0, 24
PNP AV0 VM0 XX0 VV, 24
PNP VV DPS AJ0 NN, 24
VV PRP AT0 NN PRF, 24
NN PRP AT0 NN PRF, 23
TO0 VV AT0 NN NN, 23
AVQ VDB XX0 PNP VV, 23
PNP VB AJ0 PNP VB, 23
PNP VM0 AV0 VV PNP, 23
PNP VM0 VV DT0 NN, 23
VV PRP DPS AJ0 NN, 23
VV TO0 VV PNP VV, 23
PRP AT0 NN NN NN, 23
VV AVP AT0 AJ0 NN, 22
PNP VV PRP DPS NN, 22
PNP VDB XX0 AV0 VV, 22
NN PRF AT0 AJ0 NN, 22
PNP VDB XX0 VV TO0, 22
PNP VDD XX0 VV PNP, 22
PNP VB AV0 AJ0 PNP, 21
TO0 VV AT0 NN PRF, 21
PNP VV TO0 VV AT0, 21
PNP VV AT0 NN PRF, 21
PNP VB VV PRP PNP, 21
CJS PNP VM0 VV PNP, 21
VV PNP VB VV TO0, 21
VB VV TO0 VV AT0, 21
VV NN PRP AT0 NN, 21
CJC PNP VM0 XX0 VV, 21
PNP VV TO0 VV DT0, 21
VB AV0 VV TO0 VV, 21
VB AT0 AV0 AJ0 NN, 21
PNP VB AV0 AT0 AJ0, 20
VV DPS NN PRP AT0, 20
AT0 AJ0 NN PRP AT0, 20
NN NN PRP AT0 NN, 20
VV AT0 NN TO0 VV, 20
TO0 VV AT0 NN PRP, 20
VV PRP AT0 NN PRP, 20
AT0 AV0 AJ0 NN PRP, 20
