
Most Significant Differences for: mlpfim
Feature, Min, Max, Diff, % change
ave_sentence_len, 24.64, 29.9, 5.26, 21.33
VBG, 14.98, 17.26, 2.27, 15.16
VBD, 22.95, 26.21, 3.26, 14.2
JJ, 64.13, 73.1, 8.97, 13.99
PRP$, 17.52, 19.96, 2.44, 13.91
CC, 20.93, 23.7, 2.77, 13.21
IN, 65.05, 72.13, 7.08, 10.88
NN, 189.21, 198.89, 9.68, 5.12
DT, 75.8, 79.04, 3.24, 4.27
NNS, 36.72, 38.19, 1.47, 4.01

Most Significant Differences for: mlpaf
Feature, Min, Max, Diff, % change
MD, 22.62, 29.11, 6.49, 28.68
PRP, 85.58, 105.8, 20.23, 23.64
num_tokens, 63.99, 75.93, 11.95, 18.67
VB, 71.68, 84.26, 12.58, 17.55
num_sentences, 158.17, 185.03, 26.86, 16.98
VBN, 14.38, 16.11, 1.73, 12.05
VBP, 56.21, 58.41, 2.2, 3.92
