
Most Significant Differences for: mlpfim_c5
Feature, Min, Max, Diff, % change
ave_sentence_len, 24.4, 29.32, 4.93, 20.2
AJ0, 48.41, 57.05, 8.65, 17.86
NN, 129.24, 152.05, 22.81, 17.65
DPS, 16.66, 18.78, 2.12, 12.7
CJC, 20.79, 23.41, 2.62, 12.58
CJS, 10.3, 11.52, 1.22, 11.81
DT0, 29.25, 32.39, 3.14, 10.74
PRP, 40.62, 44.75, 4.14, 10.18
TO0, 19.54, 20.85, 1.31, 6.7
AT0, 45.61, 47.92, 2.31, 5.07

Most Significant Differences for: mlpaf_c5
Feature, Min, Max, Diff, % change
VM0, 24.52, 35.02, 10.5, 42.82
NP0, 19.5, 25.27, 5.77, 29.61
ITJ, 30.58, 38.92, 8.34, 27.28
AVP, 13.22, 15.9, 2.68, 20.25
num_sentences, 162.91, 189.3, 26.39, 16.2
num_tokens, 64.56, 74.49, 9.93, 15.39
PNP, 123.83, 139.83, 16.0, 12.92
DTQ, 9.43, 10.63, 1.19, 12.64
VV, 133.96, 145.5, 11.55, 8.62
