
Most Significant Differences for: other_coca
Feature, Min, Max, Diff, % change
ave_sentence_len, 53.82, 65.24, 11.42, 21.22
IN, 98.03, 108.84, 10.81, 11.03
CC, 30.8, 33.93, 3.13, 10.18
VBG, 20.37, 22.36, 1.99, 9.79
VBN, 19.58, 21.2, 1.62, 8.29
DT, 90.86, 96.97, 6.11, 6.73
JJ, 65.58, 68.5, 2.92, 4.45

Most Significant Differences for: juvenile_coca
Feature, Min, Max, Diff, % change
num_tokens, 6.38, 19.66, 13.28, 208.24
CD, 7.71, 11.6, 3.89, 50.44
num_sentences, 82.06, 98.43, 16.37, 19.95
VBP, 22.11, 25.58, 3.47, 15.71
VB, 43.31, 48.2, 4.89, 11.28
MD, 14.82, 16.45, 1.63, 11.01
NN, 197.92, 209.52, 11.6, 5.86
VBD, 67.69, 70.59, 2.9, 4.28
TO, 24.17, 24.73, 0.57, 2.35
