File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, $, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1990.txt, 31422, 4342, 3508, 0, 47.13, 4.11, 0, 11, 141, 1129, 191, 2874, 102, 3, 2813, 1896, 74, 56, 0, 572, 5660, 4, 0, 1161, 15, 207, 2848, 889, 2299, 52, 14, 280, 0, 705, 11, 1560, 2953, 624, 581, 733, 432, 78, 221, 4, 229
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1992.txt, 1057, 421, 130, 0, 42.2, 4.09, 0, 0, 5, 39, 31, 74, 0, 1, 95, 60, 5, 2, 0, 31, 229, 0, 0, 66, 0, 11, 88, 21, 64, 4, 0, 3, 0, 19, 0, 70, 13, 6, 12, 54, 33, 3, 5, 0, 13
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1993.txt, 331487, 16319, 32320, 0, 53.43, 4.09, 0, 193, 883, 11603, 1899, 30898, 797, 26, 34616, 20060, 878, 474, 0, 5594, 63654, 26, 0, 14072, 451, 2095, 25303, 9308, 21655, 403, 83, 3327, 2, 8136, 167, 16150, 26454, 7105, 6876, 7568, 5715, 820, 1790, 26, 2380
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1994.txt, 125161, 9643, 12971, 0, 50.42, 4.11, 1, 167, 211, 3903, 617, 11289, 268, 14, 12786, 7378, 319, 174, 0, 2291, 23215, 12, 1, 6123, 138, 928, 10647, 3624, 7146, 124, 38, 883, 0, 3167, 34, 6373, 10773, 2481, 2742, 3272, 1902, 302, 809, 11, 998
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1995.txt, 192014, 11921, 17470, 0, 58.42, 4.19, 0, 233, 462, 6955, 898, 17085, 352, 21, 19969, 12312, 578, 317, 0, 3433, 34098, 75, 1, 9209, 231, 1389, 15810, 6590, 12299, 282, 69, 1476, 1, 4758, 74, 9295, 16196, 3886, 4264, 4125, 2469, 471, 1084, 20, 1227
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1996.txt, 12393, 2264, 1187, 0, 54.8, 4.13, 0, 2, 25, 438, 97, 1240, 29, 1, 1186, 780, 21, 37, 0, 185, 2453, 0, 0, 488, 20, 99, 916, 360, 791, 11, 2, 119, 0, 265, 11, 543, 1125, 283, 230, 270, 193, 30, 56, 0, 87
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1997.txt, 80699, 7480, 8229, 0, 51.71, 4.13, 0, 30, 45, 2816, 580, 7545, 170, 9, 7505, 5207, 192, 174, 0, 1289, 16553, 7, 0, 3537, 93, 535, 5758, 2415, 5142, 87, 20, 744, 0, 1867, 54, 3742, 7514, 1602, 1499, 1658, 1141, 163, 391, 4, 611
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1998.txt, 138642, 10255, 15530, 0, 47.0, 4.13, 1, 51, 126, 3969, 1822, 12572, 309, 21, 12429, 8797, 287, 236, 0, 2290, 31738, 12, 3, 6413, 150, 955, 9712, 3628, 7701, 119, 33, 1225, 16, 3242, 50, 6900, 8862, 2598, 2369, 4312, 3653, 274, 840, 8, 919
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1999.txt, 156908, 11042, 16627, 0, 49.51, 4.12, 4, 25, 176, 4736, 2343, 13946, 330, 28, 14088, 10171, 372, 253, 0, 2670, 34095, 17, 2, 7256, 152, 993, 11441, 4139, 8991, 180, 51, 1340, 26, 3926, 64, 8265, 10134, 2908, 2782, 4820, 3803, 351, 914, 9, 1107
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2000.txt, 176872, 11857, 18328, 0, 50.52, 4.11, 6, 288, 178, 5317, 2829, 15755, 338, 11, 16466, 11498, 379, 289, 0, 2784, 38880, 24, 0, 8193, 182, 1253, 12283, 4605, 9884, 166, 53, 1412, 18, 4376, 61, 8735, 11754, 3276, 3082, 5297, 4460, 383, 1075, 5, 1277
